"id_cata","code_cata","codbarra_cata","nomb_cata","id_fami","id_sgrup","id_grup","id_unid","id_marca","id_orig","id_colo","id_teji","id_tall","ubic_cata","pfob_cata","pcif_cata","esta_cata","id_emp","desc_cata","tipo_cata","stockmin_cata","combo_cata","textil_cata","gene_cata","gcmarca_cata"
"26","COCACOLA-1","","COCA COLA 2 LITROS (V)","2","45","26","1","2","2","0","0","0","","8.71","8.71","1","1","","2","10000.00","0","0","0","1"
"27","SPRITE-2","","SPRITE DE 2  LITROS","2","45","26","1","4","2","0","0","0","","8.71","8.71","1","1","","2","0.00","0","0","0","1"
"28","009","","WINGS - BUFFALO (V)","1","6","1","1","1","2","0","0","0","","14.00","14.00","1","1","","2","1.00","0","0","0","0"
"29","29","","FANTA PAPAYA 2 Lts","2","2","1","1","1","1","0","0","0","","0.00","0.00","0","1","","2","0.00","0","0","0","0"
"30","30","","PAQUETE CUMPLEAÑOS  II","43","2","55","1","1","2","0","0","0","","1000.00","1000.00","1","1","","2","1000.00","0","0","0","0"
"31","11","","WINGS - BBQ (V)","1","6","1","1","1","2","0","0","0","","4.30","0.00","1","1","","2","0.00","0","0","0","0"
"32","445","","DELIVERY - A","43","2","1","1","1","2","0","0","0","","1.10","1.10","1","1","","2","0.00","0","0","0","0"
"33","32","","LIMONADA EN JARRA - SN","2","45","27","1","1","2","0","0","0","","12.00","1.59","1","1","","2","0.00","0","0","0","0"
"34","SIMBA-2","","SIMBA GUARANA 2 LITROS","2","2","1","1","5","1","0","0","0","","5.85","5.85","1","1","","2","10.00","0","0","0","1"
"35","008","","SUPER CAJITA - BURGER","1","7","1","1","1","2","0","0","0","","6.00","0.00","1","1","","2","0.00","0","0","0","0"
"36","FANTA-5","","FANTA PAPAYA 2 LITROS","2","45","26","1","3","2","0","0","0","","8.71","8.71","1","1","","2","0.00","0","0","0","1"
"37","12","","MILANESA - MONTADA (V)","1","4","1","1","1","2","0","0","0","","2.50","2.50","1","1","","2","0.00","0","0","0","0"
"38","38","","EMPANADA DE POLLO (SNACK)","41","2","1","1","1","2","0","0","0","","5.00","0.00","1","1","","2","0.00","0","0","0","0"
"39","33","","ICE TEA  EN JARRA - SN","2","45","27","1","1","2","0","0","0","","8.17","8.17","1","1","","2","0.00","0","0","0","0"
"40","31","","JUGO DE PAPAYA EN JARRA (SNACK)","2","45","27","1","1","2","0","0","0","","5.00","0.00","1","1","","2","0.00","0","0","0","0"
"41","41","","ALITA DE POLLO","1","2","1","1","1","1","0","0","0","","0.00","0.00","0","1","","2","0.00","0","0","0","0"
"42","42","","SOBRA (AL)","1","2","1","1","1","1","0","0","0","","1.00","0.00","1","1","","2","0.00","0","0","0","0"
"43","COCACOLA-6","","POWER (SNACK)","2","46","27","1","2","2","0","0","0","","481.00","7.00","1","1","","2","100000.00","0","0","0","1"
